,City ID,City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country
359,1489822,Tegul'det,57.31,88.17,16.48,95,49,5.35,RU
360,2192362,Christchurch,-43.53,172.63,66.2,63,43,20.8,NZ
361,6166142,Thunder Bay,48.4,-89.32,28.4,74,90,19.46,CA
362,962367,Richards Bay,-28.78,32.04,70.93,88,29,1.21,ZA
363,2191562,Dunedin,-45.87,170.5,61.0,77,42,10.0,NZ
364,4956335,Yarmouth,41.71,-70.23,59.0,87,90,16.11,US
365,4636045,Lebanon,36.21,-86.29,44.01,70,1,3.36,US
366,303290,Ortaköy,38.74,34.04,28.4,92,40,4.7,TR
367,258175,Lixouri,38.2,20.43,60.35,71,0,3.49,GR
368,2961459,Skibbereen,51.55,-9.27,46.4,81,40,11.41,IE
369,60019,Eyl,7.98,49.82,76.86,61,64,15.35,SO
370,6162951,Terrace Bay,48.78,-87.1,33.8,93,100,3.36,CA
371,1513491,Yangi Marg`ilon,40.43,71.72,33.8,80,0,4.7,UZ
372,3160100,Beian,63.66,9.57,57.2,62,75,25.28,NO
373,3440777,Rocha,-34.48,-54.33,55.85,92,18,6.6,UY
374,4955336,Weymouth,42.22,-70.94,60.01,90,98,15.99,US
375,3204674,Palanka,45.25,19.39,42.01,93,13,6.93,RS
376,337405,Gambēla,8.25,34.58,72.81,66,29,2.48,ET
377,3601402,Savannah Bight,16.45,-85.85,79.0,79,82,9.93,HN
378,2632287,Dalvik,65.97,-18.53,33.8,69,90,4.7,IS
